DMS_id,max_identity
NP_000007.1,0.0
NP_000008.1,0.0
NP_000009.1,0.0
NP_000010.1,0.0
NP_000011.2,0.0
NP_000012.1,0.0
NP_000013.2,0.0
NP_000014.1,0.0
NP_000017.1,0.0
NP_000018.2,0.0
NP_000021.1,0.0
NP_000022.3,0.0
NP_000023.2,0.0
NP_000024.2,0.0
NP_000026.2,0.0
NP_000028.3,0.0
NP_000030.1,0.0
NP_000032.1,0.0
NP_000034.1,0.0
NP_000035.2,0.0
NP_000036.2,0.0
NP_000037.2,0.0
NP_000038.2,0.0
NP_000039.2,0.0
NP_000040.1,0.0
NP_000041.2,0.0
NP_000043.4,0.0
NP_000044.2,0.0
NP_000045.1,0.0
NP_000046.1,0.0
NP_000048.1,0.0
NP_000052.1,0.0
NP_000053.2,0.0
NP_000055.2,0.0
NP_000058.1,0.0
NP_000060.2,0.0
NP_000061.1,0.0
NP_000062.1,1.0
NP_000065.1,0.0
NP_000066.1,0.0
NP_000067.1,0.0
NP_000068.1,0.0
NP_000070.1,0.0
NP_000071.1,0.0
NP_000073.1,0.0
NP_000074.3,0.0
NP_000076.2,0.0
NP_000078.3,0.0
NP_000079.2,0.0
NP_000080.2,0.0
NP_000081.2,0.0
NP_000082.2,0.0
NP_000083.3,0.0
NP_000084.3,0.0
NP_000086.2,0.0
NP_000087.2,0.0
NP_000088.3,0.0
NP_000089.1,0.0
NP_000092.2,0.0
NP_000093.1,0.0
NP_000095.2,0.0
NP_000099.2,0.0
NP_000101.2,0.0
NP_000102.1,0.0
NP_000103.2,0.0
NP_000104.1,0.0
NP_000107.1,0.0
NP_000108.1,0.0
NP_000110.2,0.0
NP_000113.1,0.0
NP_000114.3,0.0
NP_000115.1,0.0
NP_000117.1,0.0
NP_000118.2,0.0
NP_000119.1,0.0
NP_000120.2,0.0
NP_000121.2,0.0
NP_000122.1,0.0
NP_000124.1,0.0
NP_000126.2,0.0
NP_000127.2,0.0
NP_000128.1,0.0
NP_000131.2,0.0
NP_000132.3,0.0
NP_000134.2,0.0
NP_000135.2,0.0
NP_000136.2,0.0
NP_000137.2,0.0
NP_000138.2,0.0
NP_000142.2,0.0
NP_000143.2,0.0
NP_000144.2,0.0
NP_000147.1,0.0
NP_000149.4,0.0
NP_000150.1,0.0
NP_000153.1,1.0
NP_000154.1,0.0
NP_000156.1,0.0
NP_000157.1,0.0
NP_000159.3,0.0
NP_000160.1,0.0
NP_000161.2,0.0
NP_000162.2,0.0
NP_000164.5,0.0
NP_000165.1,0.0
NP_000166.2,0.0
NP_000168.1,0.0
NP_000169.1,0.0
NP_000170.1,0.0
NP_000171.1,0.0
NP_000172.2,0.0
NP_000173.2,0.0
NP_000174.1,0.0
NP_000175.1,0.0
NP_000177.2,0.0
NP_000178.2,0.0
NP_000179.2,0.0
NP_000181.2,1.0
NP_000182.2,0.0
NP_000183.2,0.0
NP_000184.1,0.0
NP_000185.1,0.0
NP_000186.2,0.0
NP_000187.3,0.0
NP_000188.1,0.0
NP_000189.1,0.0
NP_000190.1,0.0
NP_000194.2,0.0
NP_000197.1,0.0
NP_000198.1,0.0
NP_000199.2,0.0
NP_000200.1,0.0
NP_000202.3,0.0
NP_000203.2,0.0
NP_000205.1,0.0
NP_000206.2,0.0
NP_000207.2,0.0
NP_000208.2,0.0
NP_000209.2,0.0
NP_000210.2,0.9922480620155039
NP_000211.1,0.0
NP_000213.1,0.0
NP_000214.1,0.0
NP_000217.2,0.0
NP_000219.2,0.0
NP_000220.1,0.0
NP_000221.1,0.0
NP_000222.2,0.0
NP_000224.2,0.0
NP_000226.2,0.0
NP_000228.1,0.0
NP_000229.1,1.0
NP_000230.1,0.0
NP_000231.1,0.0
NP_000239.1,0.0
NP_000240.1,0.0
NP_000241.1,0.0
NP_000242.1,1.0
NP_000243.1,0.0
NP_000244.2,0.0
NP_000245.2,0.0
NP_000246.2,0.0
NP_000247.2,0.0
NP_000248.2,0.0
NP_000249.1,0.0
NP_000251.3,0.0
NP_000252.1,0.0
NP_000254.2,0.0
NP_000255.2,0.0
NP_000257.1,0.0
NP_000259.1,0.0
NP_000261.2,0.0
NP_000262.2,1.0
NP_000263.2,0.0
NP_000264.2,0.0
NP_000265.1,0.0
NP_000266.2,0.0
NP_000267.2,0.0
NP_000268.1,0.0
NP_000269.3,0.0
NP_000272.1,0.0
NP_000273.2,0.0
NP_000274.3,0.0
NP_000275.1,0.0
NP_000276.2,0.0
NP_000277.1,0.0
NP_000278.3,0.0
NP_000279.1,0.0
NP_000280.1,0.0
NP_000282.1,0.0
NP_000283.1,0.0
NP_000286.3,0.0
NP_000288.1,0.0
NP_000292.1,0.0
NP_000293.2,0.0
NP_000294.1,0.0
NP_000295.1,0.0
NP_000298.3,0.0
NP_000299.3,0.0
NP_000300.1,0.0
NP_000301.1,0.0
NP_000302.1,0.0
NP_000303.1,0.0
NP_000306.1,0.0
NP_000307.1,0.0
NP_000308.1,0.0
NP_000312.2,0.0
NP_000313.2,0.0
NP_000315.2,0.0
NP_000316.2,0.0
NP_000317.1,0.0
NP_000320.1,0.0
NP_000321.1,0.0
NP_000325.4,0.0
NP_000327.2,0.0
NP_000329.2,0.0
NP_000331.1,0.0
NP_000332.2,0.0
NP_000333.1,0.0
NP_000334.1,0.0
NP_000336.1,0.9571428571428572
NP_000337.1,0.0
NP_000340.2,0.0
NP_000341.2,0.0
NP_000343.2,0.0
NP_000344.1,0.0
NP_000349.1,0.0
NP_000350.1,0.0
NP_000353.1,0.0
NP_000354.4,0.0
NP_000359.1,0.0
NP_000360.2,0.0
NP_000361.1,0.0
NP_000362.1,0.0
NP_000363.1,0.0
NP_000364.1,0.0
NP_000365.3,0.0
NP_000366.1,0.0
NP_000368.1,0.0
NP_000371.1,0.0
NP_000372.1,0.0
NP_000373.1,0.0
NP_000374.1,0.0
NP_000378.1,0.0
NP_000381.1,0.0
NP_000382.3,0.0
NP_000383.2,0.0
NP_000384.2,0.0
NP_000387.1,0.0
NP_000388.2,0.0
NP_000389.1,0.0
NP_000391.1,0.0
NP_000393.4,0.0
NP_000396.2,0.0
NP_000398.1,0.0
