DMS_id,UniProt_ID,taxon,selection_type,n_variants,n_single_mutants,sequence_length,MSA_depth,has_scores
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,Growth,9576,9576,3423,,True
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,Growth,12577,12577,852,,True
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,,922,922,161,,True
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Prokaryote,Flow cytometry,1653,1653,87,,True
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,Virus,Growth,10715,10715,565,,True
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,Virus,Growth,2350,2350,565,,True
A4_HUMAN_Seuma_2022,A4_HUMAN,Human,survival assessment assay,14811,796,770,,True
A4D664_9INFA_Soh_2019,A4D664_9INFA,Virus,Growth,14421,14421,759,,True
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,Prokaryote,Antibiotics resistance,5004,5004,266,,True
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,Prokaryote,Antibiotics resistance,1801,1801,177,,True
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,Human,Flow Cytometry Assay,2223,2223,805,,True
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,Human,Receptor activity,7800,7800,413,,True
AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,Human,bulk RNA-sequencing,209,209,198,,True
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,Human,cDNA display proteolysis,2972,820,47,,True
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,Prokaryote,Growth,6227,6227,346,,True
ANCSZ_Hobbs_2022,ANCSZ,Eukaryote,enzymatic activity,4670,4670,627,,True
