[2026-08-29 13:36:38] PDB files: 197
[2026-08-29 13:36:40] A0A140D2T1_ZIKV_Sourisseau_2019 (A0A140D2T1_ZIKV): mapped 504/3423 residues, pass_rate=0.15, median_plddt=88.9
[2026-08-29 13:36:42] A0A192B1T2_9HIV1_Haddox_2018 (A0A192B1T2_9HIV1): mapped 852/852 residues, pass_rate=1.00, median_plddt=90.5
[2026-08-29 13:36:42] A0A1I9GEU1_NEIME_Kennouche_2019 (A0A1I9GEU1_NEIME): mapped 161/161 residues, pass_rate=1.00, median_plddt=90.6
[2026-08-29 13:36:43] A0A247D711_LISMN_Stadelmann_2021 (A0A247D711_LISMN): mapped 87/87 residues, pass_rate=1.00, median_plddt=89.3
[2026-08-29 13:36:43] A0A2Z5U3Z0_9INFA_Doud_2016 (A0A2Z5U3Z0_9INFA): mapped 565/565 residues, pass_rate=1.00, median_plddt=90.7
[2026-08-29 13:36:43] A0A2Z5U3Z0_9INFA_Wu_2014 (A0A2Z5U3Z0_9INFA): mapped 565/565 residues, pass_rate=1.00, median_plddt=90.7
[2026-08-29 13:36:45] A4D664_9INFA_Soh_2019 (A4D664_9INFA): mapped 759/759 residues, pass_rate=1.00, median_plddt=89.7
[2026-08-29 13:36:45] A4GRB6_PSEAI_Chen_2020 (A4GRB6_PSEAI): mapped 266/266 residues, pass_rate=1.00, median_plddt=98.6
[2026-08-29 13:36:46] A4_HUMAN_Seuma_2022 (A4_HUMAN): mapped 770/770 residues, pass_rate=1.00, median_plddt=34.4
[2026-08-29 13:36:47] AACC1_PSEAI_Dandage_2018 (AACC1_PSEAI): mapped 177/177 residues, pass_rate=1.00, median_plddt=96.3
[2026-08-29 13:36:48] ACE2_HUMAN_Chan_2020 (ACE2_HUMAN): mapped 805/805 residues, pass_rate=1.00, median_plddt=94.7
[2026-08-29 13:36:48] ADRB2_HUMAN_Jones_2020 (ADRB2_HUMAN): mapped 413/413 residues, pass_rate=1.00, median_plddt=92.5
[2026-08-29 13:36:49] AICDA_HUMAN_Gajula_2014_3cycles (AICDA_HUMAN): mapped 198/198 residues, pass_rate=1.00, median_plddt=62.4
[2026-08-29 13:36:49] AMFR_HUMAN_Tsuboyama_2023_4G3O (AMFR_HUMAN): mapped 47/47 residues, pass_rate=1.00, median_plddt=97.7
[2026-08-29 13:36:49] AMIE_PSEAE_Wrenbeck_2017 (AMIE_PSEAE): mapped 346/346 residues, pass_rate=1.00, median_plddt=98.8
[2026-08-29 13:36:50] ANCSZ_Hobbs_2022 (ANCSZ): mapped 627/627 residues, pass_rate=1.00, median_plddt=95.2
[2026-08-29 13:36:50] ARGR_ECOLI_Tsuboyama_2023_1AOY (ARGR_ECOLI): mapped 69/69 residues, pass_rate=1.00, median_plddt=96.1
[2026-08-29 13:36:50] B2L11_HUMAN_Dutta_2010_binding-Mcl-1 (B2L11_HUMAN): mapped 198/198 residues, pass_rate=1.00, median_plddt=91.3
[2026-08-29 13:36:50] BBC1_YEAST_Tsuboyama_2023_1TG0 (BBC1_YEAST): mapped 64/64 residues, pass_rate=1.00, median_plddt=98.2
[2026-08-29 13:36:50] BCHB_CHLTE_Tsuboyama_2023_2KRU (BCHB_CHLTE): mapped 52/52 residues, pass_rate=1.00, median_plddt=93.5
[2026-08-29 13:36:51] BLAT_ECOLX_Deng_2012 (BLAT_ECOLX): mapped 286/286 residues, pass_rate=1.00, median_plddt=98.7
